Date,error_bull,error_bear,min_error,argmin_regime,gap
2010-06-30,0.009005547,0.0060045808,0.0060045808,bear,0.0030009658
2010-07-01,0.009480173,0.0060121748,0.0060121748,bear,0.003467998
2010-07-02,0.008730621,0.0057151765,0.0057151765,bear,0.0030154446
2010-07-06,0.008348213,0.0053895856,0.0053895856,bear,0.002958627
2010-07-07,0.008347341,0.0051275226,0.0051275226,bear,0.0032198182
2010-07-08,0.008324999,0.0049749915,0.0049749915,bear,0.0033500078
2010-07-09,0.008449126,0.0050657988,0.0050657988,bear,0.0033833273
2010-07-12,0.008369646,0.005024877,0.005024877,bear,0.0033447691
2010-07-13,0.008313807,0.005021442,0.005021442,bear,0.0032923645
2010-07-14,0.008282631,0.004927454,0.004927454,bear,0.0033551767
2010-07-15,0.008023956,0.0046847975,0.0046847975,bear,0.0033391584
2010-07-16,0.007904885,0.004851456,0.004851456,bear,0.0030534295
2010-07-19,0.0068781087,0.0041533494,0.0041533494,bear,0.0027247593
2010-07-20,0.0064535597,0.003984547,0.003984547,bear,0.0024690125
2010-07-21,0.006190615,0.0039849444,0.0039849444,bear,0.0022056703
2010-07-22,0.0058040703,0.0039062724,0.0039062724,bear,0.0018977979
2010-07-23,0.0057580383,0.0038781113,0.0038781113,bear,0.001879927
2010-07-26,0.005456379,0.0038426563,0.0038426563,bear,0.0016137229
2010-07-27,0.005273084,0.0038567125,0.0038567125,bear,0.0014163717
2010-07-28,0.0049160044,0.0039070407,0.0039070407,bear,0.0010089637
2010-07-29,0.0046598273,0.0037478928,0.0037478928,bear,0.00091193453
2010-07-30,0.00457239,0.003790297,0.003790297,bear,0.00078209303
2010-08-02,0.004065127,0.0037623867,0.0037623867,bear,0.00030274037
2010-08-03,0.0037359737,0.003820197,0.0037359737,bull,8.4223226e-05
2010-08-04,0.0034296683,0.003737989,0.0034296683,bull,0.00030832086
2010-08-05,0.003180307,0.0038495637,0.003180307,bull,0.00066925655
2010-08-06,0.0028990363,0.0039099036,0.0028990363,bull,0.0010108673
2010-08-09,0.0028866923,0.0038009428,0.0028866923,bull,0.0009142505
2010-08-10,0.0028689352,0.003846421,0.0028689352,bull,0.0009774857
2010-08-11,0.0027877765,0.0037979349,0.0027877765,bull,0.0010101583
2010-08-12,0.0030864573,0.003734145,0.0030864573,bull,0.0006476878
2010-08-13,0.0031982788,0.00394282,0.0031982788,bull,0.00074454094
2010-08-16,0.0035877405,0.0036947192,0.0035877405,bull,0.000106978696
2010-08-17,0.0037956138,0.0038023563,0.0037956138,bull,6.7425426e-06
2010-08-18,0.0036856574,0.0038641302,0.0036856574,bull,0.00017847284
2010-08-19,0.00396987,0.003913044,0.003913044,bear,5.6826044e-05
2010-08-20,0.0042720875,0.0041648992,0.0041648992,bear,0.00010718824
2010-08-23,0.0046646832,0.0041941414,0.0041941414,bear,0.00047054188
2010-08-24,0.0053160232,0.004699816,0.004699816,bear,0.00061620725
2010-08-25,0.0053840713,0.00500751,0.00500751,bear,0.0003765612
2010-08-26,0.005603682,0.005320509,0.005320509,bear,0.00028317282
2010-08-27,0.0054238527,0.005530315,0.0054238527,bull,0.00010646228
2010-08-30,0.0051974296,0.005737265,0.0051974296,bull,0.00053983554
2010-08-31,0.0045796693,0.005794653,0.0045796693,bull,0.0012149839
2010-09-01,0.004259012,0.0058524325,0.004259012,bull,0.0015934203
2010-09-02,0.0038965319,0.005812108,0.0038965319,bull,0.0019155762
2010-09-03,0.0034852563,0.0058313613,0.0034852563,bull,0.002346105
2010-09-07,0.0031991357,0.005826218,0.0031991357,bull,0.0026270824
2010-09-08,0.0030999102,0.0058480264,0.0030999102,bull,0.0027481162
2010-09-09,0.0029577517,0.0058453274,0.0029577517,bull,0.0028875757
2010-09-10,0.0028913054,0.00583708,0.0028913054,bull,0.0029457747
2010-09-13,0.0027280897,0.0059225084,0.0027280897,bull,0.0031944187
2010-09-14,0.002763659,0.005933059,0.002763659,bull,0.0031694
2010-09-15,0.0027448619,0.0058969646,0.0027448619,bull,0.0031521027
2010-09-16,0.0029435733,0.0059217433,0.0029435733,bull,0.00297817
2010-09-17,0.002968054,0.005793602,0.002968054,bull,0.0028255482
2010-09-20,0.003145274,0.0058012926,0.003145274,bull,0.0026560186
2010-09-21,0.0032048633,0.005794001,0.0032048633,bull,0.0025891375
2010-09-22,0.00307005,0.0057174144,0.00307005,bull,0.0026473645
2010-09-23,0.0030018475,0.0057683093,0.0030018475,bull,0.0027664618
2010-09-24,0.0027396085,0.00565718,0.0027396085,bull,0.0029175717
2010-09-27,0.0027165457,0.00573073,0.0027165457,bull,0.0030141843
2010-09-28,0.0025507347,0.0058249696,0.0025507347,bull,0.003274235
2010-09-29,0.0025764913,0.005673361,0.0025764913,bull,0.0030968697
2010-09-30,0.002405222,0.0056678974,0.002405222,bull,0.0032626754
2010-10-01,0.002222392,0.0052215895,0.002222392,bull,0.0029991975
2010-10-04,0.0022499627,0.0050281305,0.0022499627,bull,0.0027781678
2010-10-05,0.0022564745,0.005081825,0.0022564745,bull,0.0028253505
2010-10-06,0.0022616796,0.004760331,0.0022616796,bull,0.0024986514
2010-10-07,0.00222693,0.0049566305,0.00222693,bull,0.0027297004
2010-10-08,0.0023431452,0.005017325,0.0023431452,bull,0.0026741796
2010-10-11,0.0023681484,0.004979542,0.0023681484,bull,0.0026113936
2010-10-12,0.0023501625,0.005295143,0.0023501625,bull,0.0029449805
2010-10-13,0.0025911436,0.0053717527,0.0025911436,bull,0.002780609
2010-10-14,0.0027898583,0.0057296003,0.0027898583,bull,0.002939742
2010-10-15,0.0030828984,0.0059022103,0.0030828984,bull,0.0028193118
2010-10-18,0.0030772884,0.0058606057,0.0030772884,bull,0.0027833174
2010-10-19,0.002980428,0.0062522297,0.002980428,bull,0.0032718016
2010-10-20,0.0028439383,0.006269474,0.0028439383,bull,0.0034255357
2010-10-21,0.0025598346,0.0064838664,0.0025598346,bull,0.0039240317
2010-10-22,0.0023872629,0.0064950227,0.0023872629,bull,0.00410776
2010-10-25,0.0021297794,0.00666251,0.0021297794,bull,0.00453273
2010-10-26,0.001646139,0.0068390598,0.001646139,bull,0.0051929206
2010-10-27,0.0014608814,0.0069027725,0.0014608814,bull,0.005441891
2010-10-28,0.0013059156,0.0070539042,0.0013059156,bull,0.005747989
2010-10-29,0.0012763183,0.007208994,0.0012763183,bull,0.0059326757
2010-11-01,0.0012704661,0.0073631336,0.0012704661,bull,0.0060926676
2010-11-02,0.0011483758,0.0073583666,0.0011483758,bull,0.006209991
2010-11-03,0.0011129313,0.0075954422,0.0011129313,bull,0.006482511
2010-11-04,0.0011364461,0.0076900185,0.0011364461,bull,0.0065535726
2010-11-05,0.0011934192,0.0077701104,0.0011934192,bull,0.0065766913
2010-11-08,0.0013750028,0.008089576,0.0013750028,bull,0.006714573
2010-11-09,0.0014348122,0.007901641,0.0014348122,bull,0.0064668283
2010-11-10,0.00141288,0.008024599,0.00141288,bull,0.0066117193
2010-11-11,0.0013206683,0.007649853,0.0013206683,bull,0.0063291844
2010-11-12,0.0013629816,0.007591319,0.0013629816,bull,0.006228337
2010-11-15,0.0012269093,0.0073317518,0.0012269093,bull,0.0061048423
2010-11-16,0.0012588747,0.00702894,0.0012588747,bull,0.0057700654
2010-11-17,0.0013094391,0.0069132852,0.0013094391,bull,0.005603846
2010-11-18,0.0013270207,0.0068396856,0.0013270207,bull,0.005512665
2010-11-19,0.0013345265,0.0067013586,0.0013345265,bull,0.005366832
2010-11-22,0.0013222748,0.006783877,0.0013222748,bull,0.0054616025
2010-11-23,0.001384503,0.006846828,0.001384503,bull,0.005462325
2010-11-24,0.0015444068,0.006766763,0.0015444068,bull,0.0052223564
2010-11-26,0.0018439639,0.0071802735,0.0018439639,bull,0.00533631
2010-11-29,0.0019197938,0.0071203825,0.0019197938,bull,0.0052005886
2010-11-30,0.0019943574,0.0074538346,0.0019943574,bull,0.005459477
2010-12-01,0.001949208,0.0074059837,0.001949208,bull,0.005456776
2010-12-02,0.002016381,0.0072978265,0.002016381,bull,0.0052814456
2010-12-03,0.0019423908,0.0073625953,0.0019423908,bull,0.0054202043
